product_name,product_id,product_kw,business_category,call_count,unique_seller_count,unique_buyer_count,median_initial_price,median_final_price,avg_discount_percent,negotiation_rate_percent,top_requested_specs,most_common_quantity,buyer_sentiment_avg,seller_sentiment_avg,price_range_low,price_range_high
Barcode Label Printer 4 Inch,P1,barcode_label_printer_4inch,supermarket,1,1,1,4500.0,4500.0,0.0,0.0,Printer Type:Barcode Label Printer|Size:4 Inch,None None,1.0,1.0,4500.0,4500.0
Epson LW 400 Label Printer,P1,epson_lw400_label_printer,corporate supplies,1,1,1,,,,0.0,Product Model:LW 400|Brand:Epson,None None,0.0,1.0,,
"Ferrule Tube, 3 Square Mm",P1,ferrule_tube_3sqmm,engineering,1,1,1,215.0,550.0,-155.81,0.0,Size:3 square mm|Bundle Length:100 meters,None None,1.0,0.0,550.0,550.0
Ginger Peeling Machine,P1,ginger_peeling_machine,Spice Company,1,1,1,,,,0.0,"Function:Peeling, not crushing",None None,0.0,0.0,,
Imported Geyser Spare Parts,P1,geyser_spare_imported,refrigeration and AC spare parts dealing,1,1,1,,,,0.0,,None None,0.0,1.0,,
KP307 Desktop Thermal Printer,P1,kp307_desktop_thermal_printer,retail solutions,1,1,1,4800.0,4600.0,4.17,100.0,"Model:KP307|Connectivity:USB, Bluetooth, WiFi, LAN|Type:Desktop Thermal Printer|Warranty:1 year|Driver Support:Windows and Android",None None,0.0,1.0,4600.0,4600.0
Leta Twin Ferrule Printing Machine PC Connectivity Model,P1,leta_twin_ferrule_printer_pc,printing machinery distribution,1,1,1,,,,0.0,Connectivity:PC Connectivity|Brand:Leta Twin|Manufacturing Origin:Made in China,None None,0.0,1.0,,
Mobile Printer 2 Inch Basic Model,P1,mobile_printer_2inch_basic,digital solutions / printing supplies,1,1,1,1150.0,1250.0,-8.7,0.0,Size:2 inch|Model Type:Basic|Warranty:1 year,60 pieces,0.0,0.0,1250.0,1250.0
Offline POS Machine,P1,offline_pos_machine,fertilizers,1,1,1,,,,0.0,Connectivity:offline|Intended Use:fertilizers business,None None,0.0,0.0,,
Quartz And Halogen Heater Rod,P1,heater_rod_quartz_halogen,electronics manufacturing,1,1,1,,,,0.0,Type:Quartz and Halogen,None None,1.0,1.0,,
Receipt Printer With Screen,P1,receipt_printer_screen,stationery shop,1,1,1,,,,0.0,Printer Type:Receipt Printer|Screen:Included|Printer Size:2 inch or 3 inch,None None,0.0,1.0,,
Shriyanka Thermal Label Printer 300 DPI,P1,shriyanka_thermal_label_printer_300dpi,architectural office,1,1,1,,,,0.0,DPI:300|Label Width:2.5 to 4 inch|Thermal Roll Type:thermal roll (not direct thermal)|Auto Cutter:required|Use Case:Architectural office labels on envelopes and silver foil for gifting,None None,0.0,1.0,,
Shyan Fido Solution Windows Desktop Touchscreen POS Machine With Software And Thermal Printer,P1,windows_desktop_touchscreen_pos_software_thermal_printer,grocery store,1,1,1,45000.0,41000.0,8.89,100.0,"Operating System:Windows|Form Factor:Desktop Touchscreen|Software Included:Yes, free with machine|Thermal Printer:Included|Software Features:Inventory management (3000+ items), sales reports (daily, weekly, monthly), category-wise inventory, cloud-based data saving",None None,1.0,1.0,41000.0,41000.0
"Thermal Receipt Printer, 4-Inch CD 410",P1,thermal_printer_4inch_cd410,retail of printing and labeling equipment,1,1,1,,,,0.0,Printer Type:Thermal Receipt Printer|Print Width:4 inch|Model:CD 410,None None,1.0,0.0,,
Windows Touch Screen POS Machine Desktop,P1,windows_pos_machine_desktop_touchscreen,Garments,1,1,1,30000.0,38000.0,-26.67,0.0,Operating System:Windows|Form Factor:Desktop|Touch Screen Size:15.6 inch|Printer:External printer required for barcode and scanner|Customer Display:Included (small LCD),None None,0.0,1.0,38000.0,38000.0
